organism;checkin;atb;diameter 6h;diameter 8h;diameter 12h;diameter 18h;phenotypes
Enterobacter cloacae;20296;AK_30;22;22;22;23;";AG wild-type"
Enterobacter cloacae;20296;AMC_30;14;14;10;11;";cAmpC hyper"
Enterobacter cloacae;20296;AMP_10;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20296;CIP_5;25;27;28;29;";QL low level resistance"
Enterobacter cloacae;20296;CN_10;20;21;21;21;";AG wild-type"
Enterobacter cloacae;20296;CPD_10;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20296;CRO_30;12;12;8;6;";cAmpC hyper"
Enterobacter cloacae;20296;CXM_30;7;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20296;DA_2;;;;;
Enterobacter cloacae;20296;E_15;;;;;
Enterobacter cloacae;20296;FD_10;;;;;
Enterobacter cloacae;20296;FEP_30;23;24;24;24;";cAmpC hyper"
Enterobacter cloacae;20296;FOX_30;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20296;K_30;21;22;22;22;";AG wild-type"
Enterobacter cloacae;20296;LEV_5;23;24;25;25;";QL low level resistance"
Enterobacter cloacae;20296;LZD_10;;;;;
Enterobacter cloacae;20296;MEM_10;28;29;30;27;";cAmpC hyper"
Enterobacter cloacae;20296;MH_30;12;12;7;7;";RND pump"
Enterobacter cloacae;20296;NA_30;15;17;16;15;";QL low level resistance"
Enterobacter cloacae;20296;NOR_10;21;22;23;24;";QL low level resistance"
Enterobacter cloacae;20296;P_1;;;;;";cAmpC hyper"
Enterobacter cloacae;20296;RD_5;;;;;
Enterobacter cloacae;20296;SXT_25;23;24;23;23;
Enterobacter cloacae;20296;TE_30;16;17;17;6;";RND pump"
Enterobacter cloacae;20296;TEC_30;;;;;
Enterobacter cloacae;20296;TEM_30;17;19;19;17;";cAmpC hyper"
Enterobacter cloacae;20296;TGC_15;15;14;14;11;";RND pump"
Enterobacter cloacae;20296;TOB_10;20;20;20;21;";AG wild-type"
Enterobacter cloacae;20296;TZP_36;14;15;11;9;";cAmpC hyper"
Enterobacter cloacae;20676;AK_30;23;24;25;26;";AG wild-type"
Enterobacter cloacae;20676;AMC_30;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20676;AMP_10;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20676;CIP_5;26;32;33;35;";QL wild-type"
Enterobacter cloacae;20676;CN_10;21;23;24;24;";AG wild-type"
Enterobacter cloacae;20676;CPD_10;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20676;CRO_30;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20676;CXM_30;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20676;DA_2;;;;;
Enterobacter cloacae;20676;E_15;;;;;
Enterobacter cloacae;20676;FD_10;;;;;
Enterobacter cloacae;20676;FEP_30;20;22;22;21;";cAmpC hyper"
Enterobacter cloacae;20676;FOX_30;6;6;6;6;";cAmpC hyper"
Enterobacter cloacae;20676;K_30;23;25;26;26;";AG wild-type"
Enterobacter cloacae;20676;LEV_5;27;31;33;34;";QL wild-type"
Enterobacter cloacae;20676;LZD_10;;;;;
Enterobacter cloacae;20676;MEM_10;16;18;18;17;";cAmpC hyper"
Enterobacter cloacae;20676;MH_30;24;22;20;20;";TET wild-type"
Enterobacter cloacae;20676;NA_30;24;26;26;25;";QL wild-type"
Enterobacter cloacae;20676;NOR_10;23;27;29;30;";QL wild-type"
Enterobacter cloacae;20676;P_1;;;;;";cAmpC hyper"
Enterobacter cloacae;20676;RD_5;;;;;
Enterobacter cloacae;20676;SXT_25;25;30;30;30;
Enterobacter cloacae;20676;TE_30;27;26;24;23;";TET wild-type"
Enterobacter cloacae;20676;TEC_30;;;;;
Enterobacter cloacae;20676;TEM_30;16;19;19;18;";cAmpC hyper"
Enterobacter cloacae;20676;TGC_15;18;21;21;21;";TET wild-type"
Enterobacter cloacae;20676;TOB_10;21;23;24;24;";AG wild-type"
Enterobacter cloacae;20676;TZP_36;12;13;11;10;";cAmpC hyper"
Staphylococcus aureus;22103;AK_30;;;;;";AG multiple mechanisms"
Staphylococcus aureus;22103;AMC_30;;;;;";PBP2a"
Staphylococcus aureus;22103;AMP_10;;;;;";PBP2a"
Staphylococcus aureus;22103;CIP_5;;9;10;6;";QL high level resistance"
Staphylococcus aureus;22103;CN_10;;11;13;12;";AG multiple mechanisms"
Staphylococcus aureus;22103;CPD_10;;;;;";PBP2a"
Staphylococcus aureus;22103;CRO_30;;;;;";PBP2a"
Staphylococcus aureus;22103;CXM_30;;;;;";PBP2a"
Staphylococcus aureus;22103;DA_2;;22;24;26;
