organism;checkin;antibiotic;diameter 6h;diameter 8h;diameter 12h;diameter 18h;phenotypes
Enterobacter cloacae;20296;Ciprofloxacin;25.22900331;26.84803198;27.78;29;";QL low level resistance"
Enterobacter cloacae;20296;Gentamicin;20.2278401;20.56325504;21.08826231;21.4;";AG wild-type"
Enterobacter cloacae;20296;Cefpodoxime;6.4;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20296;Ceftriaxone;11.99374667;12.1008656;8.19;6.41;";cAmpC hyper"
Enterobacter cloacae;20296;Cefuroxime;6.5112;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20296;Cefepime;23.19400374;24.35000364;24.16;23.72;";cAmpC hyper"
Enterobacter cloacae;20296;Kanamycine;21.20210696;21.84296005;21.93088935;22.06;";AG wild-type"
Enterobacter cloacae;20296;Levofloxacin;22.77204271;24.25030903;24.88;25.33;";QL low level resistance"
Enterobacter cloacae;20296;Meropenem;27.50080584;29.34437421;29.91;26.94;";cAmpC hyper"
Enterobacter cloacae;20296;Minocyclin;12.42108287;12.10610944;6.51;6.51;";RND pump"
Enterobacter cloacae;20296;Naladixic acid;15.27279759;16.5622622;16.10832916;15.08;";QL low level resistance"
Enterobacter cloacae;20296;Norfloxacin;20.97122619;22.13800493;22.78;23.66;";QL low level resistance"
Enterobacter cloacae;20296;Tetracycline;15.80566357;17.39331828;16.85;6.35;";RND pump"
Enterobacter cloacae;20296;Temocillin;17.48051556;19.1791364;18.56;17.39;";cAmpC hyper"
Enterobacter cloacae;20296;Tigecycline;14.74430722;13.89395924;13.68;11.08;";TET wild-type"
Enterobacter cloacae;20296;Tobramycin;19.93221021;20.35013807;20.45966955;20.57;";AG wild-type"
Enterobacter cloacae;20296;Piperacillin/Tazobactam;13.80733977;14.95630226;11.23;8.91;";cAmpC hyper"
Enterobacter cloacae;20676;Ciprofloxacin;25.94141702;31.68813796;33.40603119;35.1914853;";QL wild-type"
Enterobacter cloacae;20676;Gentamicin;21.11596489;22.90612954;23.73776885;24.04;";AG wild-type"
Enterobacter cloacae;20676;Cefpodoxime;6.4;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20676;Ceftriaxone;6.4;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20676;Cefuroxime;6.4;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20676;Cefepime;19.83227166;22.36019671;21.63590012;21.19010433;";cAmpC hyper"
Enterobacter cloacae;20676;Kanamycine;22.66453407;24.89693401;25.87582054;26.15;";AG wild-type"
Enterobacter cloacae;20676;Levofloxacin;26.70872311;30.56889082;32.9049654;34.15464001;";QL wild-type"
Enterobacter cloacae;20676;Meropenem;16.2218941;18.04201856;17.92886452;17.17616155;";cAmpC hyper"
Enterobacter cloacae;20676;Minocyclin;24.36989859;22.1656921;20.13634809;19.59536781;";TET wild-type"
Enterobacter cloacae;20676;Naladixic acid;23.84502867;25.65737205;25.54724121;25.35;";QL wild-type"
Enterobacter cloacae;20676;Norfloxacin;23.09980991;27.48792789;28.64501553;29.83919903;";QL wild-type"
Enterobacter cloacae;20676;Tetracycline;26.5;26.05360045;24.27522085;23.00477946;";TET wild-type"
Enterobacter cloacae;20676;Temocillin;16.00755899;18.7569781;18.64205843;18.02431159;";cAmpC hyper"
