organism;checkin;antibiotic;diameter 6h;diameter 8h;diameter 12h;diameter 18h;phenotypes
Enterobacter cloacae;20296;Ciprofloxacin;25.2290033143;26.8480319832;27.78;29;";QL low level resistance"
Enterobacter cloacae;20296;Gentamicin;20.2278400996;20.5632550374;21.0882623137;21.4;";AG wild-type"
Enterobacter cloacae;20296;Cefpodoxime;6.4;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20296;Ceftriaxone;11.9937466714;12.1008656021;8.19;6.41;";cAmpC hyper"
Enterobacter cloacae;20296;Cefuroxime;6.5112;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20296;Cefepime;23.1940037435;24.3500036417;24.16;23.72;";cAmpC hyper"
Enterobacter cloacae;20296;Kanamycine;21.2021069584;21.8429600459;21.9308893458;22.06;";AG wild-type"
Enterobacter cloacae;20296;Levofloxacin;22.7720427072;24.2503090313;24.88;25.33;";QL low level resistance"
Enterobacter cloacae;20296;Meropenem;27.5008058414;29.3443742144;29.91;26.94;";cAmpC hyper"
Enterobacter cloacae;20296;Minocyclin;12.4210828731;12.1061094403;6.51;6.51;";RND pump"
Enterobacter cloacae;20296;Naladixic acid;15.2727975891;16.5622621971;16.1083291575;15.08;";QL low level resistance"
Enterobacter cloacae;20296;Norfloxacin;20.9712261891;22.1380049276;22.78;23.66;";QL low level resistance"
Enterobacter cloacae;20296;Tetracycline;15.8056635698;17.3933182808;16.85;6.35;";RND pump"
Enterobacter cloacae;20296;Temocillin;17.4805155605;19.1791363975;18.56;17.39;";cAmpC hyper"
Enterobacter cloacae;20296;Tigecycline;14.7443072161;13.8939592441;13.68;11.08;";TET wild-type"
Enterobacter cloacae;20296;Tobramycin;19.9322102053;20.3501380684;20.4596695521;20.57;";AG wild-type"
Enterobacter cloacae;20296;Piperacillin/Tazobactam;13.8073397717;14.9563022602;11.23;8.91;";cAmpC hyper"
Enterobacter cloacae;20676;Ciprofloxacin;25.9414170178;31.6881379574;33.4060311892;35.1914853002;";QL wild-type"
Enterobacter cloacae;20676;Gentamicin;21.1159648904;22.9061295366;23.7377688482;24.04;";AG wild-type"
Enterobacter cloacae;20676;Cefpodoxime;6.4;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20676;Ceftriaxone;6.4;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20676;Cefuroxime;6.4;6.4;6.4;6.4;";cAmpC hyper"
Enterobacter cloacae;20676;Cefepime;19.8322716575;22.3601967122;21.635900121;21.1901043264;";cAmpC hyper"
Enterobacter cloacae;20676;Kanamycine;22.6645340742;24.8969340143;25.8758205392;26.15;";AG wild-type"
