barcode;organism;atb_acronim;6h;8h;12h;18h;phenotypes
3015903876;A. baumanii;Amikacine;;24;25;24;Aminoglycoside wild-type
3015903876;A. baumanii;Ciprofloxacine;;23;23;23;Quinolone wild-type
3015903876;A. baumanii;Gentamicine;;20;23;23;Aminoglycoside wild-type
3015903876;A. baumanii;Imipeneme;;29;26;26;beta-Lactamase wild-type
3015903876;A. baumanii;Levofloxacine;;27;27;27;Quinolone wild-type
3015903876;A. baumanii;Meropeneme;;23;25;25;beta-Lactamase wild-type
3015903876;A. baumanii;Tobramycine;;20;20;20;Aminoglycoside wild-type
3015903877;A. baumanii;Amikacine;18;20;21;21;Aminoglycoside wild-type
3015903877;A. baumanii;Ciprofloxacine;27;29;29;29;Quinolone wild-type
3015903877;A. baumanii;Gentamicine;18;20;21;22;Aminoglycoside wild-type
3015903877;A. baumanii;Imipeneme;28;29;29;30;beta-Lactamase wild-type
3015903877;A. baumanii;Levofloxacine;28;29;29;29;Quinolone wild-type
3015903877;A. baumanii;Meropeneme;21;25;27;27;beta-Lactamase wild-type
3015903877;A. baumanii;Tobramycine;18;18;19;20;Aminoglycoside wild-type
3015903879;A. baumanii;Amikacine;21;22;22;22;Aminoglycoside wild-type
3015903879;A. baumanii;Ciprofloxacine;26;28;29;29;Quinolone wild-type
3015903879;A. baumanii;Gentamicine;20;22;22;22;Aminoglycoside wild-type
3015903879;A. baumanii;Imipeneme;28;28;29;29;beta-Lactamase wild-type
3015903879;A. baumanii;Levofloxacine;27;28;29;29;Quinolone wild-type
3015903879;A. baumanii;Meropeneme;23;27;27;28;beta-Lactamase wild-type
3015903879;A. baumanii;Tobramycine;20;20;21;21;Aminoglycoside wild-type
3015903880;A. baumanii;Amikacine;19;22;23;23;Aminoglycoside wild-type
3015903880;A. baumanii;Ciprofloxacine;25;31;32;32;Quinolone wild-type
3015903880;A. baumanii;Gentamicine;19;22;23;23;Aminoglycoside wild-type
3015903880;A. baumanii;Imipeneme;28;32;34;35;beta-Lactamase wild-type
3015903880;A. baumanii;Levofloxacine;26;31;33;33;Quinolone wild-type
3015903880;A. baumanii;Meropeneme;28;31;33;33;beta-Lactamase wild-type
