organism;checkin;antibiotic;diameter 6h;diameter 8h;diameter 12h;diameter 18h;phenotypes
Enterobacter cloacae;20296;Ciprofloxacin;25.22900331;26.84803198;27.78;29;";Quinolone low level resistance"
Enterobacter cloacae;20296;Gentamicin;20.2278401;20.56325504;21.08826231;21.4;";Aminoglycoside wild-type"
Enterobacter cloacae;20296;Cefpodoxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;20296;Ceftriaxone;11.99374667;12.1008656;8.19;6.41;";AmpC hyperproduction"
Enterobacter cloacae;20296;Cefuroxime;6.5112;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;20296;Cefepime;23.19400374;24.35000364;24.16;23.72;";AmpC hyperproduction"
Enterobacter cloacae;20296;Levofloxacin;22.77204271;24.25030903;24.88;25.33;";Quinolone low level resistance"
Enterobacter cloacae;20296;Meropenem;27.50080584;29.34437421;29.91;26.94;";AmpC hyperproduction"
Enterobacter cloacae;20296;Minocyclin;12.42108287;12.10610944;6.51;6.51;";RND pump"
Enterobacter cloacae;20296;Naladixic acid;15.27279759;16.5622622;16.10832916;15.08;";Quinolone low level resistance"
Enterobacter cloacae;20296;Norfloxacin;20.97122619;22.13800493;22.78;23.66;";Quinolone low level resistance"
Enterobacter cloacae;20296;Tetracycline;15.80566357;17.39331828;16.85;6.35;";RND pump"
Enterobacter cloacae;20296;Temocillin;17.48051556;19.1791364;18.56;17.39;";AmpC hyperproduction"
Enterobacter cloacae;20296;Tobramycin;19.93221021;20.35013807;20.45966955;20.57;";Aminoglycoside wild-type"
Enterobacter cloacae;20296;Piperacillin/Tazobactam;13.80733977;14.95630226;11.23;8.91;";AmpC hyperproduction"
Enterobacter cloacae;20676;Ciprofloxacin;25.94141702;31.68813796;33.40603119;35.1914853;";Quinolone wild-type"
Enterobacter cloacae;20676;Gentamicin;21.11596489;22.90612954;23.73776885;24.04;";Aminoglycoside wild-type"
Enterobacter cloacae;20676;Cefpodoxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;20676;Ceftriaxone;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;20676;Cefuroxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;20676;Cefepime;19.83227166;22.36019671;21.63590012;21.19010433;";AmpC hyperproduction"
Enterobacter cloacae;20676;Levofloxacin;26.70872311;30.56889082;32.9049654;34.15464001;";Quinolone wild-type"
Enterobacter cloacae;20676;Meropenem;16.2218941;18.04201856;17.92886452;17.17616155;";AmpC hyperproduction"
Enterobacter cloacae;20676;Minocyclin;24;22;20;20;";Tetracycline wild-type"
Enterobacter cloacae;20676;Naladixic acid;23.84502867;25.65737205;25.54724121;25.35;";Quinolone wild-type"
Enterobacter cloacae;20676;Norfloxacin;23.09980991;27.48792789;28.64501553;29.83919903;";Quinolone wild-type"
Enterobacter cloacae;20676;Tetracycline;27;26;24;23;";Tetracycline wild-type"
Enterobacter cloacae;20676;Temocillin;16.00755899;18.7569781;18.64205843;18.02431159;";AmpC hyperproduction"
Enterobacter cloacae;20676;Tobramycin;21.32137131;22.88432264;23.72904914;24.05;";Aminoglycoside wild-type"
Enterobacter cloacae;20676;Piperacillin/Tazobactam;11.88159475;12.85720809;10.93301974;9.771010812;";AmpC hyperproduction"
Enterobacter cloacae;31081;Ciprofloxacin;27.54381449;28.33165606;28.90122276;29.44487562;";Quinolone wild-type"
Enterobacter cloacae;31081;Gentamicin;18.25656411;19.17854925;19.62;19.32;";Aminoglycoside wild-type"
Enterobacter cloacae;31081;Cefpodoxime;6.4;6.51;6.51;6.4;";AmpC hyperproduction"
Enterobacter cloacae;31081;Ceftriaxone;19.51915361;18.57;18.05;18.04524584;";AmpC hyperproduction"
Enterobacter cloacae;31081;Cefuroxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;31081;Cefepime;27.86611588;29.33;29.53;29.38304026;";AmpC hyperproduction"
Enterobacter cloacae;31081;Levofloxacin;25.96228827;26.71875558;28.08896113;28.54992211;";Quinolone wild-type"
Enterobacter cloacae;31081;Meropenem;26.48045202;26.49;26.65;26.66016604;";AmpC hyperproduction"
Enterobacter cloacae;31081;Minocyclin;19;18;18;17;";Tetracycline wild-type"
Enterobacter cloacae;31081;Naladixic acid;20.65269684;21.43355689;20.29;19.63;";Quinolone wild-type"
Enterobacter cloacae;31081;Norfloxacin;25.53047282;26.26905126;27.14503799;27.79453831;";Quinolone wild-type"
Enterobacter cloacae;31081;Tetracycline;23;22;22;22;";Tetracycline wild-type"
Enterobacter cloacae;31081;Temocillin;21.00676446;22.04;22.37;22.24;";AmpC hyperproduction"
Enterobacter cloacae;31081;Tobramycin;18.03935349;18.56514082;18.76;18.68;";Aminoglycoside wild-type"
Enterobacter cloacae;31081;Piperacillin/Tazobactam;19.84137789;20.58;20.9;20.99;";AmpC hyperproduction"
Enterobacter cloacae;31575;Ciprofloxacin;18.88198376;18.88554414;18.57117031;18.46525591;";Quinolone high level resistance"
Enterobacter cloacae;31575;Gentamicin;10.40563111;9.976071279;7.44;6.51;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;31575;Cefpodoxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;31575;Ceftriaxone;11.45629181;10.19649098;9.136009611;8.706872504;";ESBL"
Enterobacter cloacae;31575;Cefuroxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;31575;Cefepime;18.14252961;17.93878424;17.8363142;17.91328988;";ESBL"
Enterobacter cloacae;31575;Levofloxacin;20.8770386;21.94472533;22.04850566;22.15229701;";Quinolone high level resistance"
Enterobacter cloacae;31575;Meropenem;28.80052931;29.67823993;29.90740132;29.94795449;";ESBL"
Enterobacter cloacae;31575;Minocyclin;19;19;18;17;";Tetracycline wild-type"
Enterobacter cloacae;31575;Naladixic acid;16.64250934;16.33376673;15.28;6.51;";Quinolone high level resistance"
Enterobacter cloacae;31575;Norfloxacin;18.85898441;19.09854166;19.07791368;19.1010435;";Quinolone high level resistance"
Enterobacter cloacae;31575;Tetracycline;12.19762281;11.55907352;10.30826009;9.028643864;";Efflux NOT tetB"
Enterobacter cloacae;31575;Temocillin;21.43185047;22.58542236;23.23;23.43;";ESBL"
Enterobacter cloacae;31575;Tobramycin;12.95006164;11.99910846;11.04;8.31;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;31575;Piperacillin/Tazobactam;19.20355526;19.39948586;19.62;17.07;";ESBL"
Enterobacter cloacae;32124;Ciprofloxacin;28.55992815;30.2471525;30.96066223;31.53183782;";Quinolone wild-type"
Enterobacter cloacae;32124;Gentamicin;19.40704747;20.33281997;21.00570663;21.4;";Aminoglycoside wild-type"
Enterobacter cloacae;32124;Cefpodoxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;32124;Ceftriaxone;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;32124;Cefuroxime;6.4;6.4;6.4;6.4;";AmpC hyperproduction"
Enterobacter cloacae;32124;Cefepime;20.58088574;20.88715785;20.4663915;19.83028077;";AmpC hyperproduction"
Enterobacter cloacae;32124;Levofloxacin;26.71598276;29.46825626;29.70990197;30.34228969;";Quinolone wild-type"
Enterobacter cloacae;32124;Meropenem;25.74532634;26.39035881;26.42398869;26.53765517;";AmpC hyperproduction"
Enterobacter cloacae;32124;Minocyclin;21;20;19;19;";Tetracycline wild-type"
Enterobacter cloacae;32124;Naladixic acid;21.22486366;23.00135911;24.03491418;23.33;";Quinolone wild-type"
Enterobacter cloacae;32124;Norfloxacin;25.33010424;26.06368337;26.59336739;27.21294912;";Quinolone wild-type"
Enterobacter cloacae;32124;Tetracycline;23;23;23;22;";Tetracycline wild-type"
Enterobacter cloacae;32124;Temocillin;17.38352336;17.48881317;16.97350818;16.03877772;";AmpC hyperproduction"
Enterobacter cloacae;32124;Tobramycin;19.50208788;19.94900201;20.34166978;20.36;";Aminoglycoside wild-type"
Enterobacter cloacae;32124;Piperacillin/Tazobactam;11.99844406;11.24946294;10.50609078;9.34021063;";AmpC hyperproduction"
Enterobacter cloacae;37453;Ciprofloxacin;29.06204865;31.60867843;35.03113648;35.53801905;";Quinolone wild-type"
Enterobacter cloacae;37453;Gentamicin;18.26043914;18.99209536;20.22815787;21.20618592;";Aminoglycoside wild-type"
Enterobacter cloacae;37453;Cefpodoxime;21.8385654;22.91399104;11.76;10.3;";AmpC hyperproduction"
Enterobacter cloacae;37453;Ceftriaxone;26.88665726;27.75501742;23.06;20.99;";AmpC hyperproduction"
Enterobacter cloacae;37453;Cefuroxime;19.30759004;19.92;20.35;20.56;";AmpC hyperproduction"
Enterobacter cloacae;37453;Cefepime;26.62614364;27.69095378;28.01;28.15;";AmpC hyperproduction"
Enterobacter cloacae;37453;Levofloxacin;28.15460378;31.152546;33.89293021;34.40953411;";Quinolone wild-type"
Enterobacter cloacae;37453;Meropenem;28.69425441;29.25002967;29.7;30.02;";AmpC hyperproduction"
Enterobacter cloacae;37453;Minocyclin;21;23;22;22;";Tetracycline wild-type"
Enterobacter cloacae;37453;Naladixic acid;21.7481235;24.39085108;24.05395892;24.07057722;";Quinolone wild-type"
Enterobacter cloacae;37453;Norfloxacin;26.35079036;27.63811624;31.71458389;32.48298939;";Quinolone wild-type"
Enterobacter cloacae;37453;Tetracycline;24;23;23;23;";Tetracycline wild-type"
Enterobacter cloacae;37453;Temocillin;18.68165479;19.63;20.05;20.35;";AmpC hyperproduction"
Enterobacter cloacae;37453;Tobramycin;18.23119998;18.43895445;18.89378857;19.81666731;";Aminoglycoside wild-type"
Enterobacter cloacae;37453;Piperacillin/Tazobactam;13.69173983;10.47;9.16;9.72;";AmpC hyperproduction"
Enterobacter cloacae;41755;Ciprofloxacin;6.4;6.4;6.4;6.4;";Quinolone high level resistance"
Enterobacter cloacae;41755;Gentamicin;6.4;6.4;6.4;6.4;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;41755;Cefpodoxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;41755;Ceftriaxone;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;41755;Cefuroxime;6.4;6.4;6.4;6.4;";ESBL"
Enterobacter cloacae;41755;Cefepime;13.68177668;13.27712449;12.84;12.32;";ESBL"
Enterobacter cloacae;41755;Levofloxacin;10.41198816;9.447603011;6.4;6.4;";Quinolone high level resistance"
Enterobacter cloacae;41755;Meropenem;24.59800866;24.8073202;22.26;23.19;";ESBL"
Enterobacter cloacae;41755;Minocyclin;19;18;17;17;";Tetracycline wild-type"
Enterobacter cloacae;41755;Naladixic acid;6.4;6.4;6.4;6.4;";Quinolone high level resistance"
Enterobacter cloacae;41755;Norfloxacin;6.4;6.4;6.4;6.4;";Quinolone high level resistance"
Enterobacter cloacae;41755;Tetracycline;9.445545492;8.709840629;6.4;6.4;";Efflux NOT tetB"
Enterobacter cloacae;41755;Temocillin;16.32204417;16.53684319;13.45;12.21;";ESBL"
Enterobacter cloacae;41755;Tobramycin;6.4;6.4;6.4;6.4;";Aminoglycoside multiple mechanisms"
Enterobacter cloacae;41755;Piperacillin/Tazobactam;12.09715783;11.36234963;9.11;7.92;";ESBL"
