"organism";"atb_acronim";"phenotypes";"count"
"Citrobacter freundii";"AK_30";"AG wild-type";13
"Citrobacter freundii";"CIP_5";"QL wild-type";10
"Citrobacter freundii";"CN_10";"AG wild-type";13
"Citrobacter freundii";"K_30";"AG wild-type";13
"Citrobacter freundii";"LEV_5";"QL wild-type";10
"Citrobacter freundii";"MH_30";"TET wild-type";15
"Citrobacter freundii";"NA_30";"QL wild-type";10
"Citrobacter freundii";"NOR_10";"QL wild-type";10
"Citrobacter freundii";"TE_30";"TET wild-type";15
"Citrobacter freundii";"TGC_15";"TET wild-type";15
"Citrobacter freundii";"TOB_10";"AG wild-type";13
"Citrobacter koseri";"AK_30";"AG wild-type";2
"Citrobacter koseri";"CN_10";"AG wild-type";2
"Citrobacter koseri";"K_30";"AG wild-type";2
"Citrobacter koseri";"MH_30";"TET wild-type";3
"Citrobacter koseri";"TE_30";"TET wild-type";3
"Citrobacter koseri";"TGC_15";"TET wild-type";3
"Citrobacter koseri";"TOB_10";"AG wild-type";2
"Citrobacter spp";"AK_30";"AG wild-type";1
"Citrobacter spp";"CN_10";"AG wild-type";1
"Citrobacter spp";"K_30";"AG wild-type";1
"Citrobacter spp";"MH_30";"TET wild-type";1
"Citrobacter spp";"TE_30";"TET wild-type";1
"Citrobacter spp";"TGC_15";"TET wild-type";1
"Citrobacter spp";"TOB_10";"AG wild-type";1
"Enterobacter aerogenes";"AK_30";"AG wild-type";14
"Enterobacter aerogenes";"CIP_5";"QL wild-type";6
"Enterobacter aerogenes";"CN_10";"AG wild-type";14
"Enterobacter aerogenes";"K_30";"AG wild-type";14
"Enterobacter aerogenes";"LEV_5";"QL wild-type";6
"Enterobacter aerogenes";"MH_30";"TET wild-type";12
"Enterobacter aerogenes";"NA_30";"QL wild-type";6
"Enterobacter aerogenes";"NOR_10";"QL wild-type";6
"Enterobacter aerogenes";"TE_30";"TET wild-type";12
"Enterobacter aerogenes";"TGC_15";"TET wild-type";12
